Identifier,Slug,Status,Repository,Title,Description,Input,Input Shape,Output,Mode,Tag,GitHub,Publication,Source Code,License,Both Identifiers,Code,Interpretation,Task,Contributor,Date,Calculation,Output Shape,Output Type,Host URL,DockerHub,Docker Architecture,S3
eos6m4j,bidd-molmap-desc,Ready,https://github.com/ersilia-os/eos6m4j,Molecular maps based on broadly learned knowledge-based representations,Molecular representation of small molecules via descriptor-based molecular maps (images). The fingerprint-based molecular maps are available at eos59rr. These images can be used as inputs for an image-based deep learning model such as a convolutional neural network. The authors have demonstrated high performance of MolMap out-of-the-box with a broad range of tasks from MoleculeNet.,Compound,Single,"Image,Descriptor",Pretrained,Descriptor,https://github.com/ersilia-os/eos6m4j,https://www.nature.com/articles/s42256-021-00301-6,https://github.com/shenwanxiang/bidd-molmap,GPL-3.0,"eos6m4j,bidd-molmap","$ ersilia serve bidd-molmap-desc
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Image representation of a molecule. Each pixel represents a molecular feature,Generative,miquelduranfrigola,25/8/2022,https://github.com/miquelduranfrigola,Matrix,Float,,https://hub.docker.com/r/ersiliaos/eos6m4j,AMD64,https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos6m4j.zip
eos59rr,bidd-molmap-fps,Ready,https://github.com/ersilia-os/eos59rr,Molecular fingerprint maps based on broadly learned knowledge-based representations,"Molecular representation of small molecules via ingerprint-based molecular maps (images). Typically, the goal is to use these images as inputs for an image-based deep learning model such as a convolutional neural network. The authors have demonstrated high performance of MolMap out-of-the-box with a broad range of tasks from MoleculeNet.",Compound,Single,"Image,Descriptor",Pretrained,Fingerprint,https://github.com/ersilia-os/eos59rr,https://www.nature.com/articles/s42256-021-00301-6,https://github.com/shenwanxiang/bidd-molmap,GPL-3.0,,"$ ersilia serve bidd-molmap-fps
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Image representation of a molecule. Each pixel represents a molecular feature,Representation,samuelmaina,3/7/2023,https://github.com/samuelmaina,Matrix,Float,,https://hub.docker.com/r/ersiliaos/eos59rr,AMD64,https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos59rr.zip
eos1xje,biogpt-embeddings,Ready,https://github.com/ersilia-os/eos1xje,BioGPT embeddings,"BioGPT is a pre-trained transformer for biomedical text. This domain-specific model has been trained on large-scale biomedical literature. In this implementation, we use BioGPT to generate numerical embeddings for bioassay and other biomedical texts.",Text,Single,Descriptor,Pretrained,"Embedding,Biomedical text",https://github.com/ersilia-os/eos1xje,https://academic.oup.com/bib/article/23/6/bbac409/6713511?guestAccessKey=a66d9b5d-4f83-4017-bb52-405815c907b9&login=false,https://github.com/microsoft/biogpt,MIT,,"$ ersilia serve biogpt-embeddings
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Biomedical text embedding,Representation,miquelduranfrigola,30/8/2023,https://github.com/miquelduranfrigola,List,Float,,https://hub.docker.com/r/ersiliaos/eos1xje,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos1xje.zip
eos2ta5,cardiotoxnet-herg,Ready,https://github.com/ersilia-os/eos2ta5,Ligand-based prediction of hERG blockade,"A robust predictor for hERG channel blockade based on an ensemble of five deep learning models. The authors have collected a dataset from public sources, such as BindingDB and ChEMBL on hERG blockers and non-blockers. The cut-off for hERG blockade was set at IC50 < 10 uM for the classifier.",Compound,Single,Probability,Pretrained,"hERG,Toxicity,Cardiotoxicity",https://github.com/ersilia-os/eos2ta5,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-021-00541-z,https://github.com/Abdulk084/CardioTox,None,"eos2ta5,cardiotoxnet-herg","$ ersilia serve cardiotoxnet-herg
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Probability that the compound inhibits hERG (IC50 < 10 uM),Classification,miquelduranfrigola,18/10/2021,https://github.com/miquelduranfrigola,Single,Float,https://eos2ta5-m774j.ondigitalocean.app/,https://hub.docker.com/r/ersiliaos/eos2ta5,AMD64,https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos2ta5.zip
eos4u6p,cc-signaturizer,Ready,https://github.com/ersilia-os/eos4u6p,Chemical Checker signaturizer,"A set of 25 Chemical Checker bioactivity signatures (including 2D & 3D fingerprints, scaffold, binding, crystals, side effects, cell bioassays, etc) to capture properties of compounds beyond their structures. Each signature has a length of 128 dimensions. In total, there are 3200 dimensions. The signaturizer is periodically updated. We use the 2020-02 version of the signaturizer.",Compound,Single,Descriptor,Pretrained,"Descriptor,Bioactivity profile,Embedding",https://github.com/ersilia-os/eos4u6p,https://www.nature.com/articles/s41467-021-24150-4,http://gitlabsbnb.irbbarcelona.org/packages/signaturizer,MIT,"eos4u6p,cc-signaturizer","$ ersilia serve cc-signaturizer
$ ersilia api -i 'CCCOCCC'
$ ersilia close",2D projection of bioactivity signatures,Representation,miquelduranfrigola,1/7/2021,https://github.com/miquelduranfrigola,List,Float,,https://hub.docker.com/r/ersiliaos/eos4u6p,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos4u6p.zip
eos8aox,cc-signaturizer-3d,Ready,https://github.com/ersilia-os/eos8aox,Chemical Checker Signaturizer 3D,"Building on the Chemical Checker bioactivity signatures (available as eos4u6p), the authors use the relation between stereoisomers and bioactivity of over 1M compounds to train stereochemically-aware signaturizers that better describe small molecule bioactivity properties. In this implementation we provide the A1, A2, A3, B1, B4 and C3 signatures",Compound,Single,Descriptor,Pretrained,"Descriptor,Bioactivity profile,Embedding",https://github.com/ersilia-os/eos8aox,https://www.biorxiv.org/content/10.1101/2024.03.15.584974v1,https://gitlabsbnb.irbbarcelona.org/packages/signaturizer3d,MIT,,"$ ersilia serve cc-signaturizer-3d
$ ersilia api -i 'CCCOCCC'
$ ersilia close",2D projection of bioactivity signatures,Representation,GemmaTuron,19/3/2024,https://github.com/GemmaTuron,List,Float,,https://hub.docker.com/r/ersiliaos/eos8aox,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos8aox.zip
eos7a04,cdd-descriptor,Ready,https://github.com/ersilia-os/eos7a04,Continuous and data-driven descriptors,"Low dimension continuous descriptor based on a neural machine translation model. This model has been trained by inputting a IUPAC molecular representation to obtain its SMILES. The intermediate continuous vector representation encoded by when reading the IUPAC name is a representation of the molecule, containing all the information to generate the output sequence (SMILES). This model has been pretrained on a large dataset combining ChEMBL and ZINC.",Compound,Single,Descriptor,Pretrained,"Descriptor,Chemical language model",https://github.com/ersilia-os/eos7a04,https://pubs.rsc.org/en/content/articlelanding/2019/sc/c8sc04175j,https://github.com/jrwnter/cddd,MIT,"eos7a04,continuous-data-driven","$ ersilia serve cdd-descriptor
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Embedding representation of a molecule,Representation,miquelduranfrigola,1/7/2021,https://github.com/miquelduranfrigola,List,Float,,https://hub.docker.com/r/ersiliaos/eos7a04,AMD64,https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos7a04.zip
eos1vms,chembl-multitask-descriptor,Ready,https://github.com/ersilia-os/eos1vms,Multi-target prediction based on ChEMBL data,"This is a ligand-based target prediction model developed by the ChEMBL team. They trained the model using pairs of small molecules and their protein targets, and produced a multitask predictor. The thresholds of activity where determined by protein families (kinases: <= 30nM,  GPCRs: <= 100nM, Nuclear Receptors: <= 100nM, Ion Channels: <= 10μM, Non-IDG Family Targets: <= 1μM). Here we provide the model trained on ChEMBL_28, which showed an accuracy of 85%.",Compound,Single,Probability,Pretrained,"Bioactivity profile,Target identification,ChEMBL",https://github.com/ersilia-os/eos1vms,http://chembl.blogspot.com/2019/05/multi-task-neural-network-on-chembl.html,https://github.com/chembl/chembl_multitask_model/,None,"eos1vms,chembl-multitask-descriptor","$ ersilia serve chembl-multitask-descriptor
$ ersilia api -i 'CCCOCCC'
$ ersilia close","Probability of having the protein (identified by ChEMBL ID), as target",Classification,miquelduranfrigola,4/6/2021,https://github.com/miquelduranfrigola,List,Float,,https://hub.docker.com/r/ersiliaos/eos1vms,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos1vms.zip
eos1noy,chembl-sampler,Ready,https://github.com/ersilia-os/eos1noy,ChEMBL Molecular Sampler,A simple sampler of the ChEMBL database using their API. It looks for similar molecules to the input molecule and returns a list of 100 molecules by default. This model has been developed by Ersilia. It posts queries to an online server.,Compound,Single,Compound,Pretrained,Similarity,https://github.com/ersilia-os/eos1noy,https://academic.oup.com/nar/article/40/D1/D1100/2903401,https://github.com/ersilia-os/chem-sampler/blob/main/chemsampler/samplers/chembl/sampler.py,GPL-3.0,"eos1noy,chembl-sampler","$ ersilia serve chembl-sampler
$ ersilia api -i 'CCCOCCC'
$ ersilia close",100 nearest molecules in ChEMBL,Similarity,GemmaTuron,4/9/2023,https://github.com/GemmaTuron,List,String,,https://hub.docker.com/r/ersiliaos/eos1noy,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos1noy.zip
eos2a9n,chembl-similarity,Ready,https://github.com/ersilia-os/eos2a9n,Similarity search in ChEMBL,"Given a molecule, this model looks for its 100 nearest neighbors in the ChEMBL database, according to ECFP4 Tanimoto similarity. Due to size constraints, the model redirects queries to the ChEMBL server, so when using this model predictions are posted online.",Compound,Single,Compound,Online,"ChEMBL,Similarity",https://github.com/ersilia-os/eos2a9n,https://www.frontiersin.org/articles/10.3389/fchem.2020.00046/full,http://130.92.106.217:8080/chemblMuti.v1/,None,"eos2a9n,chembl-similarity","$ ersilia serve chembl-similarity
$ ersilia api -i 'CCCOCCC'
$ ersilia close",List of 100 nearest neighbors,Similarity,Amna-28,18/8/2022,https://github.com/Amna-28,List,String,,https://hub.docker.com/r/ersiliaos/eos2a9n,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos2a9n.zip
eos3ae7,chemical-vae,Ready,https://github.com/ersilia-os/eos3ae7,Variational autoencoder for small molecule generation,"This variational autoencoder (VAE) for chemistry uses an encoder-decoder-predictor framework to predict new small molecules. The input SMILES molecule is converted into a continuous vector, and the decoder converts this molecular representation back to a discrete SMILES. These continuous molecular representations allow for simple operations to generate new chemical matter. The decoder is constrained to produce valid molecules. In addition, a predictor estimates the chemical properties of the molecules represented as continuous vectors (logP, QED, synthetic accessibility). The chemicalVAE was trained on 250k drugs from ZINC.",Compound,Single,Compound,Pretrained,Compound generation,https://github.com/ersilia-os/eos3ae7,https://pubs.acs.org/doi/10.1021/acscentsci.7b00572,https://github.com/aspuru-guzik-group/chemical_vae,Apache-2.0,"eos3ae7,chemicalvae","$ ersilia serve chemical-vae
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Compounds generated based on the input molecule,Generative,brosular,13/8/2022,https://github.com/brosular,List,String,,https://hub.docker.com/r/ersiliaos/eos3ae7,AMD64,https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos3ae7.zip
eos9be7,chemnet-distance,Ready,https://github.com/ersilia-os/eos9be7,FCD: Fréchet ChemNet Distance to evaluate generative models,"The Fréchet ChemNet distance is a metric to evaluate generative models. It unifies, in a single score, whether the generated molecules are valid according to chemical and biological properties as well as their diversity from the training set. The score measures the Fréchet Inception Distance between molecules represented by ChemNet, a deep neural network trained to predict biological and chemical properties of small molecules. ",Compound,Pair of Lists,Distance,Pretrained,"Similarity,Bioactivity profile,Compound generation",https://github.com/ersilia-os/eos9be7,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00234,https://github.com/bioinf-jku/FCD,LGPL-3.0,"eos9be7,chemnet-distance","$ ersilia serve chemnet-distance
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Frechet ChemNet Distance (FCD). Higher FCD indicates higher difference to the training set,Similarity,brosular,12/8/2022,https://github.com/brosular,Single,Float,,https://hub.docker.com/r/ersiliaos/eos9be7,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos9be7.zip
eos3804,chemprop-abaumannii,Ready,https://github.com/ersilia-os/eos3804,Inhibition of A.Baumannii growth,"This model is a Chemprop neural network trained with a growth inhibition dataset. Authors screened ~7,500 molecules for those that inhibited the growth of A. baumannii in vitro. They discovered abaucin, an antibacterial compound with narrow-spectrum activity against A. baumannii.",Compound,Single,Score,Pretrained,"A.baumannii,Antimicrobial activity",https://github.com/ersilia-os/eos3804,https://www.nature.com/articles/s41589-023-01349-8,https://github.com/GaryLiu152/chemprop_abaucin,None,,"$ ersilia serve chemprop-abaumannii
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Probability of growth inhibition of the bacteria A. Baumannii (threshold > 80%),Classification,miquelduranfrigola,23/8/2023,https://github.com/miquelduranfrigola,Single,Float,,https://hub.docker.com/r/ersiliaos/eos3804,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos3804.zip
eos4e40,chemprop-antibiotic,Ready,https://github.com/ersilia-os/eos4e40,Broad spectrum antibiotic activity,"Based on a simple E.coli growth inhibition assay, the authors trained a model capable of identifying antibiotic potential in compounds structurally divergent from conventional antibiotic drugs. One of the predicted active molecules, Halicin (SU3327), was experimentally validated in vitro and in vivo. Halicin is a drug under development as a treatment for diabetes.
",Compound,Single,Probability,Pretrained,"E.coli,IC50,Antimicrobial activity,Chemical graph model",https://github.com/ersilia-os/eos4e40,https://pubmed.ncbi.nlm.nih.gov/32084340/,http://chemprop.csail.mit.edu/checkpoints,MIT,"eos4e40,chemprop-antibiotic","$ ersilia serve chemprop-antibiotic
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Probability that a compound inhibits E.coli growth. The inhibition threshold was set at 80% growth inhibition in the training set.,Classification,miquelduranfrigola,6/6/2018,https://github.com/miquelduranfrigola,Single,Float,,https://hub.docker.com/r/ersiliaos/eos4e40,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos4e40.zip
eos4e41,chemprop-antibiotic-lite,Ready,https://github.com/ersilia-os/eos4e41,Broad spectrum antibiotic potential,"Based on a simple E.coli growth inhibition assay, the authors trained a model capable of identifying antibiotic potential in compounds structurally divergent from conventional antibiotic drugs. One of the predicted active molecules, Halicin (SU3327), was experimentally validated in vitro and in vivo. Halicin is a drug under development as a treatment for diabetes.
This model contains a reduced version of the model for training purposes. Please use the eos4e40 for the full prediction capabilities.
",Compound,Single,Probability,Pretrained,"E.coli,IC50,Antimicrobial activity,Chemical graph model",https://github.com/ersilia-os/eos4e41,https://pubmed.ncbi.nlm.nih.gov/32084340/,http://chemprop.csail.mit.edu/checkpoints,MIT,,"$ ersilia serve chemprop-antibiotic-lite
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Probability that a compound inhibits E.coli growth. The inhibition threshold was set at 80% growth inhibition in the training set.,Classification,GemmaTuron,28/9/2022,https://github.com/GemmaTuron,Single,Float,,https://hub.docker.com/r/ersiliaos/eos4e41,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos4e41.zip
eos5xng,chemprop-eskape,Ready,https://github.com/ersilia-os/eos5xng,ESKAPE pathogen inhibition,Prediction of antimicrobial potential using a dataset of 29537 compounds screened against the antibiotic resistant pathogen Burkholderia cenocepacia. The model uses the Chemprop Direct Message Passing Neural Network (D-MPNN) abd has an AUC score of 0.823 for the test set. It has been used to virtually screen the FDA approved drugs as well as a collection of natural product list (>200k compounds) with hit rates of 26% and 12% respectively.,Compound,Single,Score,Pretrained,"ESKAPE,Antimicrobial activity",https://github.com/ersilia-os/eos5xng,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9624395/,https://github.com/cardonalab/Prediction-of-ATB-Activity,GPL-3.0,,"$ ersilia serve chemprop-eskape
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Probability that a compound inhibits bacterial pathogens with a focus on ESKAPE. Scores range from 0 to 1. With 1 indicating the highest probability for growth inhibitory activity.,Classification,Richioo,3/12/2023,https://github.com/Richioo,Single,Float,,https://hub.docker.com/r/ersiliaos/eos5xng,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos5xng.zip
